"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey","H8298","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Horizon Mutual Holdings, Inc","New York","20,595","3 Penn Plaza East","","Newark","NJ","071052200","Mgr, Exec DOBI Compl & Ap","Mestres","Suze","","1-973-466-5503","","","suze_mestres@horizonblue.com","3 Penn Plaza East","PP-14","Newark","NJ","07105","06/15/2020"
"HORIZON-PACE, LLC","Horizon - PACE","H6541","National PACE","National PACE","09/01/2022","For Profit","American Health Management, Inc.","Atlanta","92","2028 Merrick Drive","","Richmond","KY","40475","CEO","Upchurch","Kelly","","1-859-623-4080","","","kellyupchurch@forhorizon.com","2028 Merrick Dr","","Richmond","KY","40475","02/09/2021"
"HOSPICE OF THE BLUEGRASS, INC","Bluegrass PACE Care","H1980","National PACE","National PACE","08/01/2022","Not-for-Profit/Non-Profit","Hospice of the Bluegrass, Inc.","Atlanta","29","1733 Harrodsburg Road","","Lexington","KY","40504","Vice President of Philant","Klumb","Laura","","1-859-276-5344","","","lklumb@bgcarenav.org","1733 Harrodsburg Rd","","Lexington","KY","40504","07/02/2024"
"HPMP OF FLORIDA, INC.","Florida Complete Care","H9986","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Independent Living Systems, LLC","Atlanta","1,093","4601 NW 77th Ave","","Miami","FL","33166","President and COO","Riddle","Abby","","1-833-322-7526","","","ariddle@ilshealth.com","201 East Park Ave","Suite 400B","Tallahassee","FL","32301","02/04/2022"
"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana","H5525","Local CCP","Local PPO","01/01/2006","For Profit","Humana Inc.","Kansas City","199,501","111 N. Canal","","Chicago","IL","60606","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana","H1468","Local CCP","HMO/HMOPOS","02/01/1999","For Profit","Humana Inc.","Kansas City","126,599","111 N. Canal","","Chicago","IL","60606","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA BENEFIT PLAN OF TEXAS, INC.","Humana","H0783","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Humana Inc.","Kansas City","1,651","c/o CT Corporation System,  1999 Bryan Street","Suite 900","Dallas","TX","75201","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana","H4141","Local CCP","HMO/HMOPOS","01/01/2010","For Profit","Humana Inc.","Kansas City","84,419","c/o CT Corporation System,  289 S. Culver Street","","Lawrenceville","GA","30046","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana","H1951","Local CCP","HMO/HMOPOS","06/01/1994","For Profit","Humana Inc.","Kansas City","177,687","One Galleria Boulevard,","Suite 1200","Metairie","LA","70001","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana","H3533","Local CCP","HMO/HMOPOS","01/01/2009","For Profit","Humana Inc.","Kansas City","34,970","848 Third Avenue","7th Floor","New York","NY","10022","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.","Humana","H7284","Local CCP","Local PPO","01/01/2019","For Profit","Humana Inc.","Kansas City","31,257","c/o CT Corporation System,  1200 South Pine Island Road","","Plantation","FL","33324","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana","H7621","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Humana Inc.","Kansas City","4,537","1 Park Plaza, Suite 450","","Irvine","CA","92614","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","12/20/2023"
"HUMANA HEALTH PLAN OF OHIO, INC.","Humana","H0292","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Humana Inc.","Kansas City","10,514","c/o CT Corporation System,  4400 Easton Commons Way","Suite 125","Columbus","OH","43219","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH PLAN OF TEXAS, INC.","Humana","H2463","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Humana Inc.","Kansas City","1,717","1221 S. Mo Pac Expy","Suite 300","Austin","TX","787467625","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH PLAN, INC.","Humana","H0336","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","Humana Inc.","Dallas","14,713","500 West Main Street","","Louisville","KY","40202","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH PLAN, INC.","Humana","H5178","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Humana Inc.","Kansas City","277","500 West Main Street","","Louisville","KY","40202","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","Humana","H4007","Local CCP","HMO/HMOPOS","06/01/2005","For Profit","Humana Inc.","Kansas City","37,072","383 F.D. Roosevelt Avenue, 3rd Floor","","San Juan","PR","009182131","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/02/2024"
"HUMANA INSURANCE COMPANY","Humana","R3392","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","7,675","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R7220","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","2,135","1100 Employers Blvd","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R5495","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","2,104","1100 Employers Blvd.","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R5361","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","6,934","1100 Employers Blvd.","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R4845","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","5,662","1100 Employers Blvd","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R3887","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","3,354","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R1532","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","8,781","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R0923","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","2,588","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R0865","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","7,118","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R1390","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","20,031","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","H8145","PFFS","PFFS","01/01/2011","For Profit","Humana Inc.","Kansas City","24,805","1100 Employers Blvd.","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R5826","Regional CCP","Regional PPO","01/01/2006","For Profit","Humana Inc.","Kansas City","6,423","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R0110","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","9,427","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R4182","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","16,440","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","R7315","Regional CCP","Regional PPO","01/01/2018","For Profit","Humana Inc.","Kansas City","3,625","1100 Employers Blvd.","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","H2944","PFFS","PFFS","01/01/2010","For Profit","Humana Inc.","Kansas City","727","1100 EMPLOYERS BLVD","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY","Humana","H5216","Local CCP","Local PPO","07/01/2005","For Profit","Humana Inc.","Kansas City","2,754,860","1100 Employers Boulevard","","DePere","WI","54115","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY OF KENTUCKY","Humana","H0473","Local CCP","Local PPO","01/01/2019","For Profit","Humana Inc.","Kansas City","59,051","500 West Main Street","","Louisville","KY","40202","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE COMPANY OF NEW YORK","Medicare's Limited Income NET Program","X0001","LI NET Sponsor","LI NET Sponsor","01/01/2010","For Profit","Humana Inc.","Philadelphia","33,604","500 West Main Street","","Louisville","KY","40202","","","","","","","","","","","","","",""
"HUMANA INSURANCE COMPANY OF NEW YORK","Humana","H5970","Local CCP","Local PPO","01/01/2010","For Profit","Humana Inc.","Kansas City","120,206","848 Third Avenue","7th Floor","New York","NY","10022","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana","H2029","Local CCP","Local PPO","01/01/2008","For Profit","Humana Inc.","Kansas City","743","383 F.D. Roosevelt Avenue","3rd Floor","San Juan","PR","009182131","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","12/29/2022"
"HUMANA MEDICAL PLAN OF MICHIGAN, INC.","Humana","H8908","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Humana Inc.","Kansas City","37,144","18610 Fenkell Street","","Detroit","MI","482232378","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.","Humana","H5377","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Humana Inc.","Kansas City","1,617","c/o CT Corporation System,  600 N. 2nd Street","Suite 401","Harrisburg","PA","17101","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA MEDICAL PLAN OF UTAH, INC.","Humana","H2486","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Humana Inc.","Kansas City","17,668","c/o CT Corporation System,   1108 E. South Union Ave","","Midvale","UT","84047","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA MEDICAL PLAN, INC.","Humana","H1036","Local CCP","HMO/HMOPOS","02/01/1986","For Profit","Humana Inc.","Kansas City","699,233","c/o CT Corporation System,  1200 South Pine Island Road","","Plantation","FL","33324","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA REGIONAL HEALTH PLAN, INC.","Humana","H4623","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Humana Inc.","Kansas City","14,499","c/o CT Corporation System,  124 West Capitol Ave","Suite 1900","Little Rock","AR","72201","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMANA WI HEALTH ORGANIZATION INSURANCE CORP","Humana","H6622","Local CCP","HMO/HMOPOS","01/01/2011","For Profit","Humana Inc.","Kansas City","399,387","1555 North RiverCenter Drive","Suite 206","Milwaukee","WI","53212","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","07/03/2024"
"HUMBOLDT SENIOR RESOURCE CENTER, INC.","Redwood Coast PACE","H3517","National PACE","National PACE","09/01/2014","Not-for-Profit/Non-Profit","Humboldt Senior Resource Center, Inc.","San Francisco","283","1910 California Street","","Eureka","CA","95501","Director of Communication","Arche","Rene","","1-707-443-9747","1256","","rarche@humsenior.org","1910 California Street","","Eureka","CA","95501","12/20/2013"
"Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","H3384","Local CCP","HMO/HMOPOS","02/01/1998","Not-for-Profit/Non-Profit","Highmark Health","Philadelphia","47,305","257 West Genesee Street","","BUFFALO","NY","14202","","Service","Customer","","1-877-327-1395","","","customerservice@bcbswny.com","PO Box 13599","","Albany","NY","12212","02/21/2020"
"Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","H5526","Local CCP","Local PPO","01/01/2006","Not-for-Profit/Non-Profit","Highmark Health","Philadelphia","30,816","257 West Genesee Street","","Buffalo","NY","14202","","Service","Customer","","1-877-327-1395","","","customerservice@bcbswny.com","PO Box 13599","","Albany","NY","12212","02/21/2020"
"ICIRCLE SERVICES OF THE FINGER LAKES, INC.","iCircle Services of the Finger Lakes, Inc","H7813","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","CDS Monarch, Inc.","New York","","860 Hard Rd","","Webster","NY","14580","Director of Provider Rela","Mullane","James","","1-844-424-7253","","","memberservices@icirclecny.org","860 Hard Rd","","Webster","NY","14580","03/28/2022"
"ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY","Blue Cross and Blue Shield of Illinois","H8547","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Health Care Service Corporation","Denver","1,221","300 E Randolph","","Chicago","IL","60601","","Service","Customer","","1-877-895-6448","","1-000-000-0000","MedicareContractsOffice@bcbstx.com","P.O. Box 4109","","Scranton","PA","18505","01/13/2020"
"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC.","Imperial Health Plan of California, Inc.","H5496","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Imperial Health Plan of California","San Francisco","9,404","1100 East Green Street","","Pasadena","CA","91106","Compliance Officer","Ruiz","Erica","","1-800-708-7903","","","eruiz@imperialhealthplan.com","1100 East Green Street","","Pasadena","CA","91106","02/01/2022"
"INDEPENDENT CARE HEALTH PLAN","iCare","H2237","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Humana Inc.","Kansas City","9,339","1555 North RiverCenter Drive","Suite 206","Milwaukee","WI","53212","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","12/29/2022"
"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health","H3362","Local CCP","HMO/HMOPOS","01/01/1996","Not-for-Profit/Non-Profit","Independent Health Association, Inc.","New York","62,695","511 FARBER LAKES DRIVE","","BUFFALO","NY","14221","","Services","Member","","1-800-665-1502","","","wnyms@independenthealth.com","511 Farber Lakes Drive","","Buffalo","NY","14221","01/08/2008"
"INDEPENDENT HEALTH BENEFITS CORPORATION","Independent Health","H3344","Local CCP","Local PPO","09/01/2005","For Profit","Independent Health Association, Inc.","New York","5,079","511 FARBER LAKES DRIVE","","BUFFALO","NY","14221","","Services","Member","","1-800-665-1502","","","wnyms@independenthealth.com","511 Farber Lakes Drive","","Buffalo","NY","14221","01/08/2008"
"INDEPENDENT LIVING FOR SENIORS, INC.","ElderONE an Affiliate of Rochester Regional Health","H3331","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Rochester Regional Health","New York","719","490 East Ridge Road","","ROCHESTER","NY","14621","Vice President","Aroesty","Robert","","1-585-922-9950","","","Robert.aroesty@rochesterregional.org","490 East Ridge Rd","","Rochester","NY","14621","05/16/2023"
"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.","Indiana University Health Plans","H7220","Local CCP","HMO/HMOPOS","01/01/2009","Not-for-Profit/Non-Profit","Indiana University Health","Chicago","19,481","950 N. Meridian Street, Suite 400","","Indianapolis","IN","46204","Member Services Director","Barrow","Nina","","1-800-455-9776","","","nbarrow1@iuhealth.org","950 N Meridian St","Suite 400","Indianapolis","IN","46204","10/27/2021"
"INNOVAGE CALIFORNIA PACE-SACRAMENTO, LLC","InnovAge California PACE - Sacramento","H2368","National PACE","National PACE","07/01/2020","For Profit","Total Community Options, Inc.","San Francisco","340","8950 EAST LOWRY BLVD","","DENVER","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVAGE FLORIDA PACE II, LLC","InnovAge Florida PACE - Orlando","H0424","National PACE","National PACE","04/01/2024","For Profit","Total Community Options, Inc.","Atlanta","*","8950 East Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVAGE FLORIDA PACE, LLC","InnovAge Florida  PACE - Tampa","H4919","National PACE","National PACE","01/01/2024","For Profit","Total Community Options, Inc.","Atlanta","14","8950 East Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVAGE PENNSYLVANIA LIFE, LLC","InnovAge Pennsylvania LIFE","H9830","National PACE","National PACE","10/01/2010","For Profit","Total Community Options, Inc.","Philadelphia","599","8950 East Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVAGE VIRGINIA PACE II, LLC","InnovAge Virginia PACE - Richmond and Peninsula","H8655","National PACE","National PACE","02/01/2008","For Profit","Total Community Options, Inc.","Philadelphia","549","8950 East Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVAGE VIRGINIA PACE-CHARLOTTESVILLE, LLC","InnovAge Virginia PACE - Blue Ridge","H3473","National PACE","National PACE","03/01/2014","For Profit","Total Community Options, Inc.","Philadelphia","234","8950 E. Lowry Blvd.","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVAGE VIRGINIA PACE-ROANOKE VALLEY, LLC","InnovAge Virginia PACE- Roanoke Valley","H1239","National PACE","National PACE","11/01/2013","For Profit","Total Community Options, Inc.","Philadelphia","238","8950 East Lowry Blvd.","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"INNOVATIVE INTEGRATED HEALTH, INC.","Innovative Integrated Health Inc.","H9592","National PACE","National PACE","08/01/2014","For Profit","Innovative Integrated Health, Inc.","San Francisco","1,228","1200 Newport Center Drive","Suite 230","Newport Beach","CA","92660","","Longoria","Daniel","","1-559-400-6420","","","dlongoria@innovativeih.com","2042 Kern Street","","Fresno","CA","93721","06/08/2021"
"INSPIRA HEALTH NETWORK LIFE, INC.","Inspira Health Network LIFE","H6887","National PACE","National PACE","08/01/2011","Not-for-Profit/Non-Profit","Inspira Health Network, Inc.","New York","242","2445 Delsea Drive","","Vineland","NJ","08360","Executive Director","DempseyStahl","Mia","","1-856-418-5433","","","dempseystahlm@ihn.org","2445 S Delsea Drive","","Vineland","NJ","08360","01/10/2021"
"INTERNATIONAL COMMUNITY HEALTH SERVICES","International Community Health Services","H3084","National PACE","National PACE","07/01/2019","Not-for-Profit/Non-Profit","International Community Health Services","Seattle","97","720 8th Ave South","","Seattle","WA","98104","Healthy Aging & Wellness","Wong","Heidi","","1-206-462-7189","","","heidiw@ichs.com","PO Box 3007","","Seattle","WA","98114","11/17/2022"
"ISNP VENTURES, LLC","KeyCare Advantage","H6959","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","ISNP Holdings, LLC","Philadelphia","480","8028 Ritchie Highway","Suite 210","Pasadena","MD","21122","","Sindlinger","Rocio","","1-844-206-1205","","","rocio.sindlinger@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/15/2021"
"ITASCA MEDICAL CARE","Itasca Medical Care/IMCare Classic","H2417","Local CCP","HMO/HMOPOS","06/01/2005","Not-for-Profit/Non-Profit","Itasca County","Chicago","327","1219 SE 2ND AVENUE","","GRAND RAPIDS","MN","55744","CEO","Anderson","Sarah","","1-218-327-6789","","1-218-327-5545","sarah.anderson@co.itasca.mn.us","1219 SE 2nd Ave.","","Grand Rapids","MN","55744","12/14/2020"
"Inland Empire Health Plan","IEHP DualChoice","H8894","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","INLAND EMPIRE HEALTH PLAN","San Francisco","35,578","10801 Sixth Street","","Rancho Cucamonga","CA","91730","Member Services","Services","Member","","1-877-273-4347","","1-909-890-5877","member_services@IEHP.org","10801 Sixth Street","","Rancho Cucamonga","CA","91730","01/12/2022"
"JOHNS HOPKINS HEALTH PLAN OF VIRGINIA, INC.","Johns Hopkins Advantage MD","H1339","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","Johns Hopkins Healthcare LLC","Philadelphia","*","7231 Parkway Drive","Suite 100","Hanover","MD","21076","Sr. Director Medicare Pla","Riaz","Salma","","1-410-762-5905","","","SRiaz@jhhp.org","7231 Parkway Drive","Suite 100","Hanover","MD","21076","08/07/2023"
"KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES","Kaiser Permanente","H2172","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","110,117","2101 E Jefferson St","","Rockville","MD","20852","Manager, Provider Experie","Anderson","Allison","","1-301-816-6481","","1-866-640-9826","allison.x.anderson@kp.org","2101 East Jefferson Street","","Rockville","MD","20852","10/25/2017"
"KAISER FOUNDATION HEALTH PLAN OF WASHINGTON","Kaiser Permanente","H5050","Local CCP","HMO/HMOPOS","01/01/1989","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","98,961","2715 Naches Ave. SW","P.O. Box 9010","RENTON","WA","98057","Health Plan Operations","Assistance Unit","Provider","","1-888-767-4670","","1-509-249-7615","Elizabeth.B.Johnson@kp.org","Kaiser Permanente, Kaiser Foundation Health Plan of WA","PO Box 204 Mail Stop: ACN-AC17","Spokane","WA","99210-9809","08/06/2018"
"KAISER FOUNDATION HP OF CO","Kaiser Permanente","H0630","Local CCP","HMO/HMOPOS","01/01/1986","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","111,667","10350 E Dakota Avenue","PO Box 378066","Denver","CO","80247","","Services","Member","","1-800-476-2167","","","colorado.cs@kp.org","2500 S. Havana St.","","Aurora","CO","80014","01/21/2022"
"KAISER FOUNDATION HP OF GA, INC.","Kaiser Permanente","H1170","Local CCP","HMO/HMOPOS","01/01/1997","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","38,651","3495 PIEDMONT ROAD","BUILDING 9","ATLANTA","GA","30305","","Services","Member","","1-800-232-4440","","1-404-364-4939","kpnet@kp.org","3495 Piedmont Road NE","Ten Piedmont Center","Atlanta","GA","30305","06/03/2011"
"KAISER FOUNDATION HP OF THE N W","Kaiser Permanente","H9003","Local CCP","HMO/HMOPOS","04/01/1980","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","103,948","500 NE Multnomah St","SUITE 100","PORTLAND","OR","97232","","Services","Member","","1-877-221-8221","","","kaiserpermanente@kp.org","500 NE Multnomah St.,Suite 100","","Portland","OR","97232","04/05/2007"
"KAISER FOUNDATION HP, INC.","Kaiser Permanente","H8794","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","107,377","P.O. Box 12916","","Oakland","CA","946042916","","Services","Member","","1-800-443-0815","","","mscc@kp.org","10740 Fourth St., Second Floor","","Rancho Cucamonga","CA","91730","08/29/2023"
